完了_年月日,全国地方公共団体コード,都道府県名,市区町村名,陽性確認_件数,陰性確認_件数,死亡確認_件数,備考
2020-05-07,160008,富山県,,1,18,1,
2020-05-08,160008,富山県,,1,8,0,
2020-05-09,160008,富山県,,3,11,0,
2020-05-10,160008,富山県,,0,3,0,
2020-05-11,160008,富山県,,0,6,2,
2020-05-12,160008,富山県,,1,5,0,
2020-05-13,160008,富山県,,0,12,2,
2020-05-14,160008,富山県,,2,4,0,
2020-05-15,160008,富山県,,0,11,0,
2020-05-16,160008,富山県,,1,19,1,
2020-05-17,160008,富山県,,0,7,1,
2020-05-18,160008,富山県,,2,2,0,
2020-05-19,160008,富山県,,0,1,1,
2020-05-20,160008,富山県,,0,2,0,
2020-05-21,160008,富山県,,0,0,0,
2020-05-22,160008,富山県,,0,3,0,
2020-05-23,160008,富山県,,0,7,0,
2020-05-24,160008,富山県,,0,0,0,
2020-05-25,160008,富山県,,0,2,0,
2020-05-26,160008,富山県,,0,2,1,
2020-05-27,160008,富山県,,0,3,0,
2020-05-28,160008,富山県,,0,1,0,
2020-05-29,160008,富山県,,0,1,0,
2020-05-30,160008,富山県,,0,0,0,
2020-05-31,160008,富山県,,0,2,0,
2020-06-01,160008,富山県,,0,1,0,
2020-06-02,160008,富山県,,0,3,0,
2020-06-03,160008,富山県,,0,3,0,
2020-06-04,160008,富山県,,0,0,0,
2020-06-05,160008,富山県,,0,2,0,
2020-06-06,160008,富山県,,0,0,0,
2020-06-07,160008,富山県,,0,1,0,
2020-06-08,160008,富山県,,0,0,0,
2020-06-09,160008,富山県,,0,0,0,
2020-06-10,160008,富山県,,0,3,0,
2020-06-11,160008,富山県,,0,0,0,
2020-06-12,160008,富山県,,0,0,0,
2020-06-13,160008,富山県,,0,0,0,
2020-06-14,160008,富山県,,0,0,0,
2020-06-15,160008,富山県,,0,0,0,
2020-06-16,160008,富山県,,0,1,0,
2020-06-17,160008,富山県,,0,1,0,
2020-06-18,160008,富山県,,0,1,0,
2020-06-19,160008,富山県,,0,0,0,
2020-06-20,160008,富山県,,0,0,0,
2020-06-21,160008,富山県,,0,0,0,
2020-06-22,160008,富山県,,0,0,0,
2020-06-23,160008,富山県,,0,0,0,
2020-06-24,160008,富山県,,0,0,0,
2020-06-25,160008,富山県,,0,0,0,
2020-06-26,160008,富山県,,0,0,0,
2020-06-27,160008,富山県,,0,0,0,
2020-06-28,160008,富山県,,0,0,0,
2020-06-29,160008,富山県,,0,0,0,
2020-06-30,160008,富山県,,0,0,0,
2020-07-01,160008,富山県,,0,0,0,
2020-07-02,160008,富山県,,1,0,0,
2020-07-03,160008,富山県,,0,0,0,
2020-07-04,160008,富山県,,0,0,0,
2020-07-05,160008,富山県,,0,0,0,
2020-07-06,160008,富山県,,0,0,0,
2020-07-07,160008,富山県,,1,0,0,
2020-07-08,160008,富山県,,0,0,0,
2020-07-09,160008,富山県,,1,0,0,
2020-07-10,160008,富山県,,0,0,0,
2020-07-11,160008,富山県,,0,0,0,
2020-07-12,160008,富山県,,0,0,0,
2020-07-13,160008,富山県,,0,0,0,
2020-07-14,160008,富山県,,0,0,0,
2020-07-15,160008,富山県,,0,1,0,
2020-07-16,160008,富山県,,0,0,0,
2020-07-17,160008,富山県,,0,0,0,
2020-07-18,160008,富山県,,1,0,0,
2020-07-19,160008,富山県,,0,0,0,
2020-07-20,160008,富山県,,0,0,0,
2020-07-21,160008,富山県,,2,0,0,
2020-07-22,160008,富山県,,1,0,0,
2020-07-23,160008,富山県,,1,0,0,
2020-07-24,160008,富山県,,0,1,0,
2020-07-25,160008,富山県,,0,0,0,
2020-07-26,160008,富山県,,0,2,0,
2020-07-27,160008,富山県,,1,0,0,
2020-07-28,160008,富山県,,0,0,0,
2020-07-29,160008,富山県,,0,0,0,
2020-07-30,160008,富山県,,2,1,0,
2020-07-31,160008,富山県,,2,0,0,
2020-08-01,160008,富山県,,3,0,0,
2020-08-02,160008,富山県,,1,0,0,
2020-08-03,160008,富山県,,6,1,0,
2020-08-04,160008,富山県,,4,0,0,
2020-08-05,160008,富山県,,7,1,0,
2020-08-06,160008,富山県,,5,0,0,
2020-08-07,160008,富山県,,6,0,0,
2020-08-08,160008,富山県,,10,2,0,
2020-08-09,160008,富山県,,3,1,0,
2020-08-10,160008,富山県,,5,1,0,
2020-08-11,160008,富山県,,3,5,0,
2020-08-12,160008,富山県,,4,6,0,
2020-08-13,160008,富山県,,4,1,0,
2020-08-14,160008,富山県,,4,4,0,
2020-08-15,160008,富山県,,2,4,0,
2020-08-16,160008,富山県,,1,2,0,
2020-08-17,160008,富山県,,8,4,0,
2020-08-18,160008,富山県,,7,5,0,
2020-08-19,160008,富山県,,6,1,0,
2020-08-20,160008,富山県,,5,2,0,
2020-08-21,160008,富山県,,2,5,1,
2020-08-22,160008,富山県,,3,3,0,
2020-08-23,160008,富山県,,2,1,0,
2020-08-24,160008,富山県,,1,1,0,
2020-08-25,160008,富山県,,9,3,0,
2020-08-26,160008,富山県,,13,9,0,
2020-08-27,160008,富山県,,4,7,0,
2020-08-28,160008,富山県,,6,6,0,
2020-08-29,160008,富山県,,8,5,1,
2020-08-30,160008,富山県,,3,4,0,
2020-08-31,160008,富山県,,4,1,1,
2020-09-01,160008,富山県,,5,6,0,
2020-09-02,160008,富山県,,3,5,0,
2020-09-03,160008,富山県,,3,12,0,
2020-09-04,160008,富山県,,2,9,0,
2020-09-05,160008,富山県,,0,6,0,
2020-09-06,160008,富山県,,0,6,0,
2020-09-07,160008,富山県,,1,6,0,
2020-09-08,160008,富山県,,3,9,0,
2020-09-09,160008,富山県,,1,4,0,
2020-09-10,160008,富山県,,1,2,0,
2020-09-11,160008,富山県,,0,4,0,
2020-09-12,160008,富山県,,0,0,0,
2020-09-13,160008,富山県,,0,4,0,
2020-09-14,160008,富山県,,0,2,0,
2020-09-15,160008,富山県,,0,0,0,
2020-09-16,160008,富山県,,0,1,0,
2020-09-17,160008,富山県,,1,1,0,
2020-09-18,160008,富山県,,1,2,0,
2020-09-19,160008,富山県,,0,5,0,
2020-09-20,160008,富山県,,0,1,0,
2020-09-21,160008,富山県,,0,0,0,
2020-09-22,160008,富山県,,0,0,0,
2020-09-23,160008,富山県,,0,0,0,
2020-09-24,160008,富山県,,0,0,0,
2020-09-25,160008,富山県,,2,0,0,
2020-09-26,160008,富山県,,0,0,0,
2020-09-27,160008,富山県,,0,2,0,
2020-09-28,160008,富山県,,1,0,0,
2020-09-29,160008,富山県,,4,1,1,
2020-09-30,160008,富山県,,2,0,0,
2020-10-01,160008,富山県,,2,0,0,
2020-10-02,160008,富山県,,1,1,0,
2020-10-03,160008,富山県,,0,1,0,
2020-10-04,160008,富山県,,0,0,0,
2020-10-05,160008,富山県,,0,0,0,
2020-10-06,160008,富山県,,0,1,0,
2020-10-07,160008,富山県,,0,1,0,
2020-10-08,160008,富山県,,0,0,0,
2020-10-09,160008,富山県,,0,2,0,
2020-10-10,160008,富山県,,0,0,0,
2020-10-11,160008,富山県,,0,0,0,
2020-10-12,160008,富山県,,0,3,0,
2020-10-13,160008,富山県,,0,1,0,
2020-10-14,160008,富山県,,0,1,0,
2020-10-15,160008,富山県,,0,2,0,
2020-10-16,160008,富山県,,0,0,0,
2020-10-17,160008,富山県,,0,0,0,
2020-10-18,160008,富山県,,0,0,0,
2020-10-19,160008,富山県,,0,0,0,
2020-10-20,160008,富山県,,0,0,0,
2020-10-21,160008,富山県,,0,0,0,
2020-10-22,160008,富山県,,0,0,0,
2020-10-23,160008,富山県,,0,0,0,
2020-10-24,160008,富山県,,0,0,0,
2020-10-25,160008,富山県,,0,0,0,
2020-10-26,160008,富山県,,0,0,0,
2020-10-27,160008,富山県,,0,0,0,
2020-10-28,160008,富山県,,0,0,0,
2020-10-29,160008,富山県,,1,0,0,
2020-10-30,160008,富山県,,0,0,0,
2020-10-31,160008,富山県,,0,0,0,
2020-11-01,160008,富山県,,0,0,0,
2020-11-02,160008,富山県,,0,0,0,
2020-11-03,160008,富山県,,0,0,0,
2020-11-04,160008,富山県,,0,0,0,
2020-11-05,160008,富山県,,1,0,0,
2020-11-06,160008,富山県,,0,0,0,
2020-11-07,160008,富山県,,0,1,0,
2020-11-08,160008,富山県,,0,0,0,
2020-11-09,160008,富山県,,0,0,0,
2020-11-10,160008,富山県,,1,0,0,
2020-11-11,160008,富山県,,0,0,0,
2020-11-12,160008,富山県,,0,0,0,
2020-11-13,160008,富山県,,0,1,0,
2020-11-14,160008,富山県,,2,0,0,
2020-11-15,160008,富山県,,1,0,0,
2020-11-16,160008,富山県,,1,0,0,
2020-11-17,160008,富山県,,1,1,0,
2020-11-18,160008,富山県,,5,0,0,
2020-11-19,160008,富山県,,3,0,0,
2020-11-20,160008,富山県,,3,0,0,
2020-11-21,160008,富山県,,1,0,0,
2020-11-22,160008,富山県,,3,0,0,
2020-11-23,160008,富山県,,1,0,0,
2020-11-24,160008,富山県,,1,1,0,
2020-11-25,160008,富山県,,3,2,0,
2020-11-26,160008,富山県,,3,4,0,
2020-11-27,160008,富山県,,4,1,0,
2020-11-28,160008,富山県,,1,1,0,
2020-11-29,160008,富山県,,1,0,0,
2020-11-30,160008,富山県,,0,4,0,
2020-12-01,160008,富山県,,,3,0,
